Rider Id,City Name,Contract Name,Vehicle Name,Batch Number,TGA Status,Error Codes,# Shifts,Working Days,Planned Working Hours,Actual Working Hours,Avg. Working Hours/ Day,Attendance Rate,Break Hours,Lost Hours,Acceptance Rate,Contact Rate,No Shows,No Show %,Notified Deliveries,Completed Deliveries,Accepted Deliveries,Not Accepted Deliveries,Stacked Deliveries,Declined Deliveries,Cancelled Deliveries
1811873,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,2,1,6.87,6.57,6.57,0.9563318777292577,0,0.30333333333333334,0.8,0,0,0,5,4,4,1,0,0,0
2043550,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,15.25,12.09,12.09,0.7927868852459017,0,3.4080555555555554,0.9545454545454546,0.047619047619047616,0,0,22,20,21,0,0,1,1
2642282,Riyadh,shorouk_mansoura_ftr,car,2,0,0,3,1,15,15.42,15.42,1,0.12083333333333333,0.001388888888888889,1,0,0,0,19,19,19,0,0,0,0
2043795,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,14.39,14.02,14.02,0.9742876997915219,0.25166666666666665,0.11888888888888889,0.8947368421052632,0.11764705882352941,0,0,19,17,17,0,2,2,0
1811713,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,18.98,11.12,11.12,0.5858798735511064,0,3.5366666666666666,0.9615384615384616,0,0,0,26,25,25,0,6,1,0
2534170,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,2,1,10.75,11.24,11.24,1,0,0.011666666666666667,0.9411764705882353,0,0,0,17,16,16,0,2,1,0
2604143,Riyadh,shorouk_mansoura_ftr,car,3,0,0,5,1,20.75,19.12,19.12,0.9214457831325301,1.0163888888888888,0.9719444444444445,1,0,0,0,18,18,18,0,0,0,0
2003965,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,8.91,9.37,9.37,1,0,0.006944444444444444,1,0,0,0,8,8,8,0,2,0,0
2014388,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,8.25,7.05,7.05,0.8545454545454545,0.23444444444444446,5.168888888888889,0.9285714285714286,0,0,0,14,14,13,0,0,1,0
2003967,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,18.25,18.75,18.75,1,0,1.5016666666666667,0.9444444444444444,0,0,0,18,17,17,0,0,1,0
2091748,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,3,1,14.91,16.48,16.48,1,0,0.008333333333333333,1,0,0,0,27,28,27,0,4,0,0
2539138,Riyadh,shorouk_mansoura_ftr,car,3,0,0,4,1,17.25,16.53,16.53,0.9582608695652175,0,0.7247222222222223,1,0,0,0,16,17,16,0,4,0,1
2093069,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,3,1,11.25,11.74,11.74,1,0,0.004722222222222222,0.9523809523809523,0.1,0,0,21,19,20,0,2,1,1
2061282,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,3,1,15,15.25,15.25,1,0,0.0011111111111111111,1,0,0,0,22,22,22,0,2,0,0
2040739,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,3,1,11.66,11.84,11.84,1,0,0.0008333333333333334,0.9411764705882353,0,0,0,17,16,16,0,0,1,0
1816464,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,7.35,7.33,7.33,0.9972789115646259,0,0.020277777777777777,1,0,0,0,10,10,10,0,2,0,0
2014382,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,10.25,10.24,10.24,0.9990243902439024,0,0.009722222222222222,0.8571428571428571,0,0,0,14,12,12,0,2,2,0
2591050,Riyadh,shorouk_mansoura_ftr,car,4,0,0,5,1,21,20.79,20.79,0.99,0,5.848611111111111,1,0.13333333333333333,0,0,14,15,14,0,4,0,0
1817487,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,17.5,17.1,17.1,0.9771428571428572,0,1.9011111111111112,1,0,0,0,24,24,24,0,0,0,0
2214748,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,19.5,20.5,20.5,1,0,0.0044444444444444444,0.9583333333333334,0.043478260869565216,0,0,25,22,24,0,0,1,1
1817375,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,10.46,8.82,8.82,0.8432122370936902,0,6.146944444444444,0.75,0,0,0,8,6,6,0,0,2,1
2061278,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,3,1,12.93,12.92,12.92,0.9992266047950503,0,0.0044444444444444444,0.9523809523809523,0,0,0,21,20,20,0,4,1,0
2014356,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,3,1,13,13.42,13.42,1,0,1.4166666666666667,0.8333333333333334,0,0,0,6,5,5,0,0,1,0
1817363,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,2,1,12.75,13.24,13.24,1,0,0,0.9545454545454546,0,0,0,22,21,21,0,0,1,0
2605310,Riyadh,shorouk_mansoura_ftr,car,2,0,0,5,1,22.5,23.36,23.36,1,0,5.5,1,0,0,0,20,20,20,0,4,0,1
2601456,Riyadh,shorouk_mansoura_ftr,car,1,0,0,4,1,19,19.71,19.71,1,0,0,1,0,0,0,25,25,25,0,2,0,0
2091736,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,17.5,17.97,17.97,1,0.018333333333333333,0.012777777777777779,1,0.045454545454545456,0,0,22,21,22,0,2,0,1
2597303,Riyadh,shorouk_mansoura_ftr,car,3,0,0,2,1,12,12.75,12.75,1,0,0,1,0,0,0,14,14,14,0,4,0,0
