Rider Id,City Name,Contract Name,Vehicle Name,Batch Number,TGA Status,Error Codes,# Shifts,Working Days,Planned Working Hours,Actual Working Hours,Avg. Working Hours/ Day,Attendance Rate,Break Hours,Lost Hours,Acceptance Rate,Contact Rate,No Shows,No Show %,Notified Deliveries,Completed Deliveries,Accepted Deliveries,Not Accepted Deliveries,Stacked Deliveries,Declined Deliveries,Cancelled Deliveries
2642282,Riyadh,shorouk_mansoura_ftr,car,2,0,0,3,1,21,22,22,1,0,0,1,0.045454545454545456,0,0,22,22,22,0,2,0,0
2534170,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,2,1,11.25,11.36,11.36,1,0.5038888888888889,0,0.95,0,0,0,20,19,19,0,2,1,0
897401,Riyadh,shorouk_mansoura_ftr,car,6,0,0,1,1,6,5.88,5.88,0.98,0,0.2311111111111111,0.8,0,0,0,5,4,4,0,0,1,0
2014382,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,14.29,14.29,14.29,1,0,0,1,0.2,0,0,6,4,6,0,0,0,1
2040739,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,18.75,19.62,19.62,1,0,0.002777777777777778,1,0,0,0,18,18,18,0,0,0,0
2014356,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,4,1,15.47,15.43,15.43,0.9974143503555267,0,0.04138888888888889,0.9090909090909091,0,0,0,11,10,10,0,0,1,0
1811713,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,18.5,19.13,19.13,1,0.52,0,0.7647058823529411,0,0,0,17,13,13,0,0,4,0
2601456,Riyadh,shorouk_mansoura_ftr,car,6,0,0,5,1,24,23.49,23.49,0.9787499999999999,0.5055555555555555,0,1,0,0,0,22,19,22,0,2,0,3
2091736,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,17.25,17.25,17.25,1,0,0.0033333333333333335,1,0.05555555555555555,0,0,18,18,18,0,6,0,0
2605310,Riyadh,shorouk_mansoura_ftr,car,2,0,0,5,1,21.25,22.12,22.12,1,0,4.8116666666666665,1,0,0,0,25,25,25,0,4,0,0
2214748,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,19.5,20,20,1,0,0.0033333333333333335,1,0,0,0,24,25,24,0,2,0,0
2091748,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,3,1,12,11.53,11.53,0.9608333333333333,0.9783333333333334,0.0008333333333333334,0.8888888888888888,0.0625,0,0,18,15,16,2,0,0,1
2061282,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,14.75,14.88,14.88,1,0,0.2461111111111111,1,0.05,0,0,21,20,21,0,0,0,0
1817363,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,3,1,14.22,14.48,14.48,1,0,0.2911111111111111,1,0,0,0,30,30,30,0,2,0,0
2003965,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,13.54,14.34,14.34,1,0,0.02722222222222222,1,0,0,0,14,14,14,0,2,0,0
2043795,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,13.63,14.09,14.09,1,0,0,1,0,0,0,24,23,24,0,4,0,0
1816464,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,8.63,8.32,8.32,0.9640787949015063,0.013333333333333334,0.2966666666666667,0.75,0,0,0,4,3,3,0,0,1,0
2043550,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,5,1,20.5,15.27,15.27,0.7448780487804878,0,5.6075,0.9375,0,0,0,16,15,15,1,2,0,0
1815910,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,1,1,4.5,4.88,4.88,1,0,0,1,0,0,0,6,6,6,0,0,0,0
2003967,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,19.75,20.46,20.46,1,0,0.006111111111111111,1,0.06666666666666667,0,0,15,14,15,0,0,0,1
2539138,Riyadh,shorouk_mansoura_ftr,car,3,0,0,4,1,21,20.31,20.31,0.9671428571428571,0,0.9983333333333333,1,0.13636363636363635,0,0,22,20,22,0,6,0,2
2597303,Riyadh,shorouk_mansoura_ftr,car,3,0,0,3,1,11.75,12.45,12.45,1,0,0.014444444444444444,1,0,0,0,12,12,12,0,0,0,0
1811873,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,2,1,6.38,6.35,6.35,0.9952978056426331,0,0.0275,1,0,0,0,3,3,3,0,0,0,0
2604143,Riyadh,shorouk_mansoura_ftr,car,3,0,0,5,1,20.5,21.48,21.48,1,0,0,1,0,0,0,23,22,23,0,2,0,0
2014388,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,15.08,14.74,14.74,0.9774535809018567,0,0.33944444444444444,1,0,0,0,21,21,21,0,2,0,1
2061278,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,14.56,14.73,14.73,1,0.255,0.0077777777777777776,0.8695652173913043,0.05,0,0,23,19,20,0,6,3,1
1817375,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,2,1,11.5,10,10,0.8695652173913043,0.25,1.6625,0.8571428571428571,0,0,0,14,12,12,0,6,2,0
1817487,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,18.31,17.82,17.82,0.9732386673948663,0.4911111111111111,0.0125,0.9523809523809523,0.05263157894736842,0,0,23,19,22,0,0,1,0
2591050,Riyadh,shorouk_mansoura_ftr,car,4,0,0,5,1,16.5,21.19,21.19,1,0,4.2011111111111115,1,0,0,0,19,19,19,0,2,0,0
2093069,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,4,1,20,20,20,1,0,0.006944444444444444,1,0,0,0,11,11,11,0,0,0,0
1811671,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,3,1,10.2,10.19,10.19,0.9990196078431373,0,0.01,0.9,0,0,0,20,18,18,0,4,2,0
