Rider Id,City Name,Contract Name,Vehicle Name,Batch Number,TGA Status,Error Codes,# Shifts,Working Days,Planned Working Hours,Actual Working Hours,Avg. Working Hours/ Day,Attendance Rate,Break Hours,Lost Hours,Acceptance Rate,Contact Rate,No Shows,No Show %,Notified Deliveries,Completed Deliveries,Accepted Deliveries,Not Accepted Deliveries,Stacked Deliveries,Declined Deliveries,Cancelled Deliveries
2642282,Riyadh,shorouk_mansoura_ftr,car,3,0,0,3,1,18.75,18.9,18.9,1,0,0.30666666666666664,1,0,0,0,34,33,34,0,10,0,2
2014382,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,11.25,10.73,10.73,0.9537777777777778,0.25583333333333336,0.7605555555555555,0.9166666666666666,0,0,0,26,22,24,0,6,2,0
2605310,Riyadh,shorouk_mansoura_ftr,car,2,0,0,5,1,21.75,21.76,21.76,1,0,3.5166666666666666,1,0.041666666666666664,0,0,25,24,25,0,8,0,0
2539138,Riyadh,shorouk_mansoura_ftr,car,2,0,0,4,1,21,20.97,20.97,0.9985714285714286,0,1.0183333333333333,1,0,0,0,30,31,30,0,8,0,0
2003967,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,16.75,16.87,16.87,1,0,0.14055555555555554,0.9629629629629629,0,0,0,27,25,26,0,6,1,1
2109531,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,18.5,12.4,12.4,0.6702702702702703,0,6.356111111111111,1,0,1,0.25,17,18,17,0,2,0,0
2214748,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,4,1,15.25,15.59,15.59,1,0,0.02388888888888889,1,0.045454545454545456,0,0,22,22,22,0,6,0,0
2091748,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,4,1,20.5,21.79,21.79,1,0,0.0033333333333333335,1,0,0,0,36,35,36,0,14,0,2
1817375,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,15.32,14.38,14.38,0.9386422976501306,0,1.1841666666666666,0.96,0,0,0,26,24,25,0,6,1,0
1811873,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,2,1,0.99,0.74,0.74,0.7474747474747475,0.21305555555555555,0.03722222222222222,1,0,0,0,2,2,2,0,0,0,0
2003965,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,12.75,12.53,12.53,0.9827450980392156,0,1.305,1,0,0,0,14,14,14,0,2,0,0
2534170,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,2,1,12,12,12,1,0,0.003611111111111111,1,0,0,0,20,20,20,0,8,0,0
2040739,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,2,1,10,10.17,10.17,1,0,0,1,0,0,0,18,18,18,0,2,0,0
2642263,Riyadh,shorouk_mansoura_ftr,car,2,0,0,4,1,19.25,19.11,19.11,0.9927272727272727,0,4.874444444444444,1,0,0,0,26,26,26,0,2,0,0
1816263,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,1,1,2.47,2.62,2.62,1,0,0.043611111111111114,0.8,0,0,0,5,4,4,0,2,1,0
1816464,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,2,1,5.11,2.22,2.22,0.43444227005870845,1.7672222222222222,2.266111111111111,1,0.3333333333333333,0,0,5,3,4,1,0,0,0
2085501,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,18.5,19.14,19.14,1,0,0.021111111111111112,0.9629629629629629,0,0,0,28,26,27,0,2,1,0
2003962,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,1,1,1.93,1.37,1.37,0.7098445595854923,0.565,0,0.5,1,0,0,4,1,2,1,0,1,0
2043795,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,12.56,13.06,13.06,1,0,0.0075,1,0.037037037037037035,0,0,27,26,27,0,0,0,1
2061282,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,2,1,8.25,8.48,8.48,1,0.5027777777777778,3.0191666666666666,0.9285714285714286,0,0,0,14,13,13,0,2,1,0
2086230,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,2,1,11,11.61,11.61,1,0,0.0025,0.9629629629629629,0.037037037037037035,0,0,27,26,26,0,6,1,1
1817487,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,12,11.64,11.64,0.9700000000000001,0.25833333333333336,0.5227777777777778,0.8888888888888888,0,0,0,18,16,16,0,0,2,0
2591050,Riyadh,shorouk_mansoura_ftr,car,3,0,0,4,1,21,21.36,21.36,1,0,0.6675,1,0.045454545454545456,0,0,22,22,22,0,2,0,0
2091736,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,2,1,11.75,10.87,10.87,0.9251063829787234,0,0.8833333333333333,1,0,0,0,16,16,16,0,2,0,0
2043550,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,2,1,14,9.27,9.27,0.6621428571428571,0,4.75,1,0,1,0.3333333333333333,14,14,14,0,2,0,0
2014388,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,12,12.49,12.49,1,0,2.257222222222222,0.9444444444444444,0.058823529411764705,0,0,18,17,17,0,0,1,0
2642268,Riyadh,shorouk_mansoura_ftr,car,3,0,0,2,1,21.5,9.79,9.79,0.4553488372093023,0,0,1,0,2,0.5,7,7,7,0,2,0,0
2061278,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,2,1,8.75,8.75,8.75,1,0,0,1,0.16666666666666666,0,0,7,6,7,0,0,0,0
1811713,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,17.5,14.38,14.38,0.8217142857142857,1.0066666666666666,3.1108333333333333,0.8518518518518519,0.043478260869565216,0,0,28,23,24,0,2,4,0
2604143,Riyadh,shorouk_mansoura_ftr,car,2,0,0,5,1,22,21.78,21.78,0.9900000000000001,0,3.7716666666666665,1,0.08333333333333333,0,0,24,21,24,0,4,0,3
2539859,Riyadh,shorouk_mansoura_ftr,car,2,0,0,5,1,23,22.97,22.97,0.998695652173913,0,0.5097222222222222,1,0,0,0,28,27,28,0,0,0,0
1817363,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,2,1,11.75,11.54,11.54,0.982127659574468,0,0.3458333333333333,1,0,0,0,12,11,12,0,0,0,1
2093069,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,5,1,21.75,22.75,22.75,1,0,0.007222222222222222,0.9259259259259259,0.041666666666666664,0,0,27,24,25,0,2,2,0
